"Taxon";"I";"II";"II.III";"III";"IV";"V";"VI";"VII";"VIII";"IX";"Ordre"
"131";"Gerbillus_campestris";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"132";"Gerbillus_dasyurus";0;0;0.333333333;0.333333333;0.333333333;0;0;0;0;0;"RODENTIA"
"133";"Gerbillus_gerbillus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"134";"Gerbillus_henleyi";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"135";"Gerbillus_nanus";0;0;0.333;0.333;0.333;0;0;0;0;0;"RODENTIA"
"136";"Gerbillus_pyramidum";0;0;0;1;0;0;0;0;0;0;"RODENTIA"
"137";"Gerbillus_simoni";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"138";"Glirulus_japonicus";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"139";"Glis_glis";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"140";"Hylopetes_phayrei";0.5;0.5;0;0;0;0;0;0;0;0;"RODENTIA"
"141";"Hystrix_brachyura";0.333;0.333;0;0;0;0.333;0;0;0;0;"RODENTIA"
"142";"Hystrix_cristata";0.25;0.25;0.25;0;0.25;0;0;0;0;0;"RODENTIA"
"143";"Hystrix_indica";0;0.2;0.2;0.2;0.2;0;0;0.2;0;0;"RODENTIA"
"144";"Jaculus_blanfordi";0;0;0.333;0;0.333;0;0;0.333;0;0;"RODENTIA"
"145";"Jaculus_jaculus";0;0.333;0.333;0;0.333;0;0;0;0;0;"RODENTIA"
"146";"Jaculus_orientalis";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"147";"Lagurus_lagurus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"148";"Lasiopodomys_gregalis";0;0;0;0;0;0;0;0.333;0.333;0.333;"RODENTIA"
"149";"Lasiopodomys_mandarinus";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"150";"Lemmus_amurensis";0;0;0;0;0;0;0;0;1;0;"RODENTIA"
"151";"Lemmus_sibiricus";0;0;0;0;0;0;0;0;0.5;0.5;"RODENTIA"
"152";"Lemniscomys_barbarus";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"153";"Leopoldamys_edwardsi";0;0.5;0;0;0;0.5;0;0;0;0;"RODENTIA"
"154";"Marmota_baibacina";0;0;0;0;0;0;0.333;0.333;0.333;0;"RODENTIA"
"155";"Marmota_camtschatica";0;0;0;0;0;0;0;0;0.5;0.5;"RODENTIA"
"156";"Marmota_himalayana";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"157";"Massoutiera_mzabi";0;0;0;1;0;0;0;0;0;0;"RODENTIA"
"158";"Meriones_crassus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"159";"Meriones_libycus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"160";"Meriones_meridianus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"161";"Meriones_persicus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"162";"Meriones_rex";0;0;0;1;0;0;0;0;0;0;"RODENTIA"
"163";"Meriones_shawi";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"164";"Meriones_tamariscinus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"165";"Meriones_tristami";0;0;0;0;0.333;0;0.333;0;0.333;0;"RODENTIA"
"166";"Meriones_unguiculatus";0;0;0;0;0;0;0.333;0.333;0.333;0;"RODENTIA"
"167";"Mesocricetus_auratus";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"168";"Micromys_minutus";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"169";"Microtus_agrestis";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"170";"Microtus_arvalis";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"171";"Microtus_duodecimcostatus";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"172";"Microtus_fortis";0;0;0;0;0;0;1;0;0;0;"RODENTIA"
"173";"Microtus_irani";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"174";"Microtus_majori";0;0;0;0;0;0.333;0.333;0.333;0;0;"RODENTIA"
"175";"Microtus_maximowiczii";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"176";"Alexandromys_middendorffi";0;0;0;0;0;0;0;0;0.5;0.5;"RODENTIA"
"177";"Microtus_montebelli";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"178";"Alexandromys_oeconomus";0;0;0;0;0;0;0.333;0;0.333;0.333;"RODENTIA"
"179";"Microtus_gerbii";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"180";"Microtus_mystacinus";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
